ffmpeg version 4.4.2-0ubuntu0.22.04.1 Copyright (c) 2000-2021 the FFmpeg developers
  built with gcc 11 (Ubuntu 11.2.0-19ubuntu1)
  configuration: --prefix=/usr --extra-version=0ubuntu0.22.04.1 --toolchain=hardened --libdir=/usr/lib/x86_64-linux-gnu --incdir=/usr/include/x86_64-linux-gnu --arch=amd64 --enable-gpl --disable-stripping --enable-gnutls --enable-ladspa --enable-libaom --enable-libass --enable-libbluray --enable-libbs2b --enable-libcaca --enable-libcdio --enable-libcodec2 --enable-libdav1d --enable-libflite --enable-libfontconfig --enable-libfreetype --enable-libfribidi --enable-libgme --enable-libgsm --enable-libjack --enable-libmp3lame --enable-libmysofa --enable-libopenjpeg --enable-libopenmpt --enable-libopus --enable-libpulse --enable-librabbitmq --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libsrt --enable-libssh --enable-libtheora --enable-libtwolame --enable-libvidstab --enable-libvorbis --enable-libvpx --enable-libwebp --enable-libx265 --enable-libxml2 --enable-libxvid --enable-libzimg --enable-libzmq --enable-libzvbi --enable-lv2 --enable-omx --enable-openal --enable-opencl --enable-opengl --enable-sdl2 --enable-pocketsphinx --enable-librsvg --enable-libmfx --enable-libdc1394 --enable-libdrm --enable-libiec61883 --enable-chromaprint --enable-frei0r --enable-libx264 --enable-shared
  libavutil      56. 70.100 / 56. 70.100
  libavcodec     58.134.100 / 58.134.100
  libavformat    58. 76.100 / 58. 76.100
  libavdevice    58. 13.100 / 58. 13.100
  libavfilter     7.110.100 /  7.110.100
  libswscale      5.  9.100 /  5.  9.100
  libswresample   3.  9.100 /  3.  9.100
  libpostproc    55.  9.100 / 55.  9.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x561bfab61180] Auto-inserting h264_mp4toannexb bitstream filter
Input #0, concat, from '/var/www/pimora/temp/video_list_1782998810768.txt':
  Duration: N/A, start: 0.000000, bitrate: 234 kb/s
  Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuv420p(tv, bt709), 1280x720 [SAR 1:1 DAR 16:9], 106 kb/s, 29.97 fps, 29.97 tbr, 30k tbn, 59.94 tbc
    Metadata:
      handler_name    : ISO Media file produced by Google Inc.
      vendor_id       : [0][0][0][0]
  Stream #0:1(eng): Audio: aac (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, fltp, 127 kb/s
    Metadata:
      handler_name    : ISO Media file produced by Google Inc.
      vendor_id       : [0][0][0][0]
[aac @ 0x561bfabae300] Estimating duration from bitrate, this may be inaccurate
Input #1, aac, from '/var/www/pimora/temp/merged_audio_1782998810768.aac':
  Duration: 05:02:42.70, bitrate: 4 kb/s
  Stream #1:0: Audio: aac (LC), 44100 Hz, stereo, fltp, 4 kb/s
Output #0, flv, to 'rtmp://a.rtmp.youtube.com/live2/bgz6-25kp-6yuc-8a7b-c3g8':
  Metadata:
    encoder         : Lavf58.76.100
  Stream #0:0(und): Video: h264 (Main) ([7][0][0][0] / 0x0007), yuv420p(tv, bt709), 1280x720 [SAR 1:1 DAR 16:9], q=2-31, 106 kb/s, 29.97 fps, 29.97 tbr, 1k tbn, 30k tbc
    Metadata:
      handler_name    : ISO Media file produced by Google Inc.
      vendor_id       : [0][0][0][0]
  Stream #0:1: Audio: aac (LC) ([10][0][0][0] / 0x000A), 44100 Hz, stereo, fltp, 4 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (copy)
  Stream #1:0 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=    1 fps=0.0 q=-1.0 size=       0kB time=00:00:00.00 bitrate=3200.0kbits/s speed=3.61x    
frame=   17 fps=0.0 q=-1.0 size=      31kB time=00:00:00.53 bitrate= 480.5kbits/s speed=1.06x    
frame=   32 fps= 32 q=-1.0 size=      33kB time=00:00:01.03 bitrate= 262.4kbits/s speed=1.02x    
frame=   47 fps= 31 q=-1.0 size=      35kB time=00:00:01.53 bitrate= 186.5kbits/s speed=1.02x    
frame=   62 fps= 31 q=-1.0 size=      73kB time=00:00:02.04 bitrate= 293.2kbits/s speed=1.01x    
frame=   77 fps= 30 q=-1.0 size=      99kB time=00:00:02.55 bitrate= 318.8kbits/s speed=1.01x    
frame=   92 fps= 30 q=-1.0 size=     113kB time=00:00:03.04 bitrate= 304.6kbits/s speed=   1x    
frame=  108 fps= 30 q=-1.0 size=     142kB time=00:00:03.57 bitrate= 326.2kbits/s speed=1.01x    
frame=  123 fps= 30 q=-1.0 size=     155kB time=00:00:04.07 bitrate= 312.3kbits/s speed=   1x    
frame=  138 fps= 30 q=-1.0 size=     167kB time=00:00:04.57 bitrate= 299.8kbits/s speed=   1x    
frame=  153 fps= 30 q=-1.0 size=     179kB time=00:00:05.08 bitrate= 289.1kbits/s speed=   1x    
frame=  169 fps= 30 q=-1.0 size=     221kB time=00:00:05.60 bitrate= 322.9kbits/s speed=   1x    
frame=  184 fps= 30 q=-1.0 size=     232kB time=00:00:06.10 bitrate= 311.6kbits/s speed=   1x    
frame=  199 fps= 30 q=-1.0 size=     246kB time=00:00:06.61 bitrate= 305.1kbits/s speed=   1x    
frame=  214 fps= 30 q=-1.0 size=     261kB time=00:00:07.12 bitrate= 299.7kbits/s speed=   1x    
frame=  230 fps= 30 q=-1.0 size=     274kB time=00:00:07.64 bitrate= 294.1kbits/s speed=   1x    
frame=  245 fps= 30 q=-1.0 size=     285kB time=00:00:08.15 bitrate= 286.9kbits/s speed=   1x    
frame=  260 fps= 30 q=-1.0 size=     296kB time=00:00:08.66 bitrate= 280.3kbits/s speed=   1x    
frame=  275 fps= 30 q=-1.0 size=     308kB time=00:00:09.14 bitrate= 275.5kbits/s speed=   1x    
frame=  291 fps= 30 q=-1.0 size=     320kB time=00:00:09.67 bitrate= 271.3kbits/s speed=   1x    
frame=  306 fps= 30 q=-1.0 size=     332kB time=00:00:10.17 bitrate= 267.5kbits/s speed=   1x    
frame=  321 fps= 30 q=-1.0 size=     344kB time=00:00:10.68 bitrate= 264.1kbits/s speed=   1x    
frame=  336 fps= 30 q=-1.0 size=     355kB time=00:00:11.19 bitrate= 259.9kbits/s speed=   1x    
frame=  351 fps= 30 q=-1.0 size=     366kB time=00:00:11.68 bitrate= 256.5kbits/s speed=   1x    
frame=  367 fps= 30 q=-1.0 size=     378kB time=00:00:12.21 bitrate= 253.2kbits/s speed=   1x    
frame=  382 fps= 30 q=-1.0 size=     431kB time=00:00:12.71 bitrate= 277.5kbits/s speed=   1x    
frame=  397 fps= 30 q=-1.0 size=     445kB time=00:00:13.21 bitrate= 275.9kbits/s speed=   1x    
frame=  412 fps= 30 q=-1.0 size=     457kB time=00:00:13.72 bitrate= 272.7kbits/s speed=   1x    
frame=  427 fps= 30 q=-1.0 size=     468kB time=00:00:14.23 bitrate= 269.5kbits/s speed=   1x    
frame=  442 fps= 30 q=-1.0 size=     479kB time=00:00:14.72 bitrate= 266.4kbits/s speed=   1x    
frame=  457 fps= 30 q=-1.0 size=     490kB time=00:00:15.23 bitrate= 263.6kbits/s speed=   1x    
frame=  472 fps= 30 q=-1.0 size=     502kB time=00:00:15.72 bitrate= 261.8kbits/s speed=   1x    
frame=  487 fps= 30 q=-1.0 size=     513kB time=00:00:16.23 bitrate= 259.1kbits/s speed=   1x    
frame=  502 fps= 30 q=-1.0 size=     524kB time=00:00:16.71 bitrate= 257.0kbits/s speed=   1x    
frame=  517 fps= 30 q=-1.0 size=     536kB time=00:00:17.22 bitrate= 255.1kbits/s speed=   1x    
frame=  533 fps= 30 q=-1.0 size=     549kB time=00:00:17.75 bitrate= 253.5kbits/s speed=   1x    
frame=  548 fps= 30 q=-1.0 size=     561kB time=00:00:18.25 bitrate= 251.7kbits/s speed=   1x    
frame=  563 fps= 30 q=-1.0 size=     572kB time=00:00:18.76 bitrate= 249.8kbits/s speed=   1x    
frame=  578 fps= 30 q=-1.0 size=     583kB time=00:00:19.27 bitrate= 247.7kbits/s speed=   1x    
frame=  594 fps= 30 q=-1.0 size=     624kB time=00:00:19.78 bitrate= 258.5kbits/s speed=   1x    
frame=  609 fps= 30 q=-1.0 size=     636kB time=00:00:20.28 bitrate= 256.8kbits/s speed=   1x    
frame=  624 fps= 30 q=-1.0 size=     647kB time=00:00:20.78 bitrate= 255.0kbits/s speed=   1x    
frame=  639 fps= 30 q=-1.0 size=     659kB time=00:00:21.29 bitrate= 253.3kbits/s speed=   1x    
frame=  654 fps= 30 q=-1.0 size=     670kB time=00:00:21.80 bitrate= 251.6kbits/s speed=   1x    
frame=  669 fps= 30 q=-1.0 size=     693kB time=00:00:22.29 bitrate= 254.8kbits/s speed=   1x    
frame=  684 fps= 30 q=-1.0 size=     705kB time=00:00:22.80 bitrate= 253.4kbits/s speed=   1x    
frame=  700 fps= 30 q=-1.0 size=     718kB time=00:00:23.32 bitrate= 252.3kbits/s speed=   1x    
frame=  715 fps= 30 q=-1.0 size=     730kB time=00:00:23.82 bitrate= 250.9kbits/s speed=   1x    
frame=  730 fps= 30 q=-1.0 size=     741kB time=00:00:24.33 bitrate= 249.4kbits/s speed=   1x    
frame=  745 fps= 30 q=-1.0 size=     752kB time=00:00:24.84 bitrate= 247.9kbits/s speed=   1x    
frame=  761 fps= 30 q=-1.0 size=     763kB time=00:00:25.36 bitrate= 246.6kbits/s speed=   1x    
frame=  776 fps= 30 q=-1.0 size=     774kB time=00:00:25.86 bitrate= 245.1kbits/s speed=   1x    
frame=  791 fps= 30 q=-1.0 size=     785kB time=00:00:26.37 bitrate= 243.8kbits/s speed=   1x    
frame=  807 fps= 30 q=-1.0 size=     824kB time=00:00:26.89 bitrate= 251.0kbits/s speed=   1x    
frame=  822 fps= 30 q=-1.0 size=     835kB time=00:00:27.39 bitrate= 249.7kbits/s speed=   1x    
frame=  837 fps= 30 q=-1.0 size=     846kB time=00:00:27.89 bitrate= 248.6kbits/s speed=   1x    
frame=  852 fps= 30 q=-1.0 size=     857kB time=00:00:28.39 bitrate= 247.1kbits/s speed=   1x    
frame=  867 fps= 30 q=-1.0 size=     868kB time=00:00:28.90 bitrate= 245.8kbits/s speed=   1x    
frame=  883 fps= 30 q=-1.0 size=     878kB time=00:00:29.43 bitrate= 244.5kbits/s speed=   1x    
frame=  898 fps= 30 q=-1.0 size=     889kB time=00:00:29.93 bitrate= 243.5kbits/s speed=   1x    
frame=  913 fps= 30 q=-1.0 size=     914kB time=00:00:30.44 bitrate= 246.1kbits/s speed=   1x    
frame=  928 fps= 30 q=-1.0 size=     927kB time=00:00:30.95 bitrate= 245.5kbits/s speed=   1x    
frame=  944 fps= 30 q=-1.0 size=     965kB time=00:00:31.46 bitrate= 251.3kbits/s speed=   1x    
frame=  959 fps= 30 q=-1.0 size=     978kB time=00:00:31.96 bitrate= 250.6kbits/s speed=   1x    
frame=  974 fps= 30 q=-1.0 size=     989kB time=00:00:32.46 bitrate= 249.6kbits/s speed=   1x    
frame=  989 fps= 30 q=-1.0 size=    1001kB time=00:00:32.97 bitrate= 248.6kbits/s speed=   1x    
frame= 1004 fps= 30 q=-1.0 size=    1011kB time=00:00:33.48 bitrate= 247.4kbits/s speed=   1x    
frame= 1020 fps= 30 q=-1.0 size=    1022kB time=00:00:34.00 bitrate= 246.3kbits/s speed=   1x    
frame= 1035 fps= 30 q=-1.0 size=    1033kB time=00:00:34.50 bitrate= 245.3kbits/s speed=   1x    
frame= 1050 fps= 30 q=-1.0 size=    1044kB time=00:00:35.01 bitrate= 244.3kbits/s speed=   1x    
frame= 1065 fps= 30 q=-1.0 size=    1054kB time=00:00:35.50 bitrate= 243.3kbits/s speed=   1x    
frame= 1080 fps= 30 q=-1.0 size=    1065kB time=00:00:36.01 bitrate= 242.2kbits/s speed=   1x    
frame= 1096 fps= 30 q=-1.0 size=    1076kB time=00:00:36.53 bitrate= 241.1kbits/s speed=   1x    
frame= 1111 fps= 30 q=-1.0 size=    1086kB time=00:00:37.03 bitrate= 240.3kbits/s speed=   1x    
frame= 1126 fps= 30 q=-1.0 size=    1097kB time=00:00:37.54 bitrate= 239.3kbits/s speed=   1x    
frame= 1141 fps= 30 q=-1.0 size=    1135kB time=00:00:38.05 bitrate= 244.2kbits/s speed=   1x    
frame= 1157 fps= 30 q=-1.0 size=    1147kB time=00:00:38.57 bitrate= 243.6kbits/s speed=   1x    
frame= 1172 fps= 30 q=-1.0 size=    1159kB time=00:00:39.07 bitrate= 242.9kbits/s speed=   1x    
frame= 1187 fps= 30 q=-1.0 size=    1170kB time=00:00:39.57 bitrate= 242.3kbits/s speed=   1x    
frame= 1202 fps= 30 q=-1.0 size=    1181kB time=00:00:40.07 bitrate= 241.4kbits/s speed=   1x    
frame= 1217 fps= 30 q=-1.0 size=    1192kB time=00:00:40.58 bitrate= 240.6kbits/s speed=   1x    
frame= 1232 fps= 30 q=-1.0 size=    1203kB time=00:00:41.07 bitrate= 239.9kbits/s speed=   1x    
frame= 1247 fps= 30 q=-1.0 size=    1213kB time=00:00:41.58 bitrate= 239.0kbits/s speed=   1x    
frame= 1263 fps= 30 q=-1.0 size=    1225kB time=00:00:42.11 bitrate= 238.3kbits/s speed=   1x    
frame= 1278 fps= 30 q=-1.0 size=    1235kB time=00:00:42.61 bitrate= 237.5kbits/s speed=   1x    
frame= 1293 fps= 30 q=-1.0 size=    1246kB time=00:00:43.11 bitrate= 236.7kbits/s speed=   1x    
frame= 1309 fps= 30 q=-1.0 size=    1257kB time=00:00:43.64 bitrate= 235.8kbits/s speed=   1x    
frame= 1324 fps= 30 q=-1.0 size=    1267kB time=00:00:44.14 bitrate= 235.1kbits/s speed=   1x    
frame= 1339 fps= 30 q=-1.0 size=    1302kB time=00:00:44.65 bitrate= 238.9kbits/s speed=   1x    
frame= 1354 fps= 30 q=-1.0 size=    1330kB time=00:00:45.14 bitrate= 241.3kbits/s speed=   1x    
frame= 1369 fps= 30 q=-1.0 size=    1342kB time=00:00:45.65 bitrate= 240.9kbits/s speed=   1x    
frame= 1384 fps= 30 q=-1.0 size=    1354kB time=00:00:46.16 bitrate= 240.2kbits/s speed=   1x    
frame= 1399 fps= 30 q=-1.0 size=    1365kB time=00:00:46.64 bitrate= 239.7kbits/s speed=   1x    
frame= 1414 fps= 30 q=-1.0 size=    1377kB time=00:00:47.16 bitrate= 239.1kbits/s speed=   1x    
frame= 1430 fps= 30 q=-1.0 size=    1389kB time=00:00:47.68 bitrate= 238.7kbits/s speed=   1x    
frame= 1445 fps= 30 q=-1.0 size=    1400kB time=00:00:48.18 bitrate= 238.1kbits/s speed=   1x    
frame= 1460 fps= 30 q=-1.0 size=    1411kB time=00:00:48.68 bitrate= 237.4kbits/s speed=   1x    
frame= 1475 fps= 30 q=-1.0 size=    1422kB time=00:00:49.18 bitrate= 236.8kbits/s speed=   1x    
frame= 1490 fps= 30 q=-1.0 size=    1433kB time=00:00:49.69 bitrate= 236.2kbits/s speed=   1x    
frame= 1505 fps= 30 q=-1.0 size=    1444kB time=00:00:50.20 bitrate= 235.6kbits/s speed=   1x    
frame= 1520 fps= 30 q=-1.0 size=    1485kB time=00:00:50.68 bitrate= 240.0kbits/s speed=   1x    
frame= 1536 fps= 30 q=-1.0 size=    1497kB time=00:00:51.21 bitrate= 239.4kbits/s speed=   1x    
frame= 1551 fps= 30 q=-1.0 size=    1507kB time=00:00:51.71 bitrate= 238.8kbits/s speed=   1x    
frame= 1566 fps= 30 q=-1.0 size=    1519kB time=00:00:52.22 bitrate= 238.2kbits/s speed=   1x    
frame= 1581 fps= 30 q=-1.0 size=    1529kB time=00:00:52.73 bitrate= 237.6kbits/s speed=   1x    
frame= 1596 fps= 30 q=-1.0 size=    1540kB time=00:00:53.22 bitrate= 237.0kbits/s speed=   1x    
frame= 1611 fps= 30 q=-1.0 size=    1551kB time=00:00:53.73 bitrate= 236.4kbits/s speed=   1x    
frame= 1626 fps= 30 q=-1.0 size=    1573kB time=00:00:54.24 bitrate= 237.5kbits/s speed=   1x    
frame= 1642 fps= 30 q=-1.0 size=    1609kB time=00:00:54.75 bitrate= 240.7kbits/s speed=   1x    
frame= 1657 fps= 30 q=-1.0 size=    1622kB time=00:00:55.25 bitrate= 240.4kbits/s speed=   1x    
frame= 1672 fps= 30 q=-1.0 size=    1634kB time=00:00:55.75 bitrate= 240.0kbits/s speed=   1x    
frame= 1687 fps= 30 q=-1.0 size=    1645kB time=00:00:56.26 bitrate= 239.6kbits/s speed=   1x    
frame= 1702 fps= 30 q=-1.0 size=    1658kB time=00:00:56.77 bitrate= 239.2kbits/s speed=   1x    
frame= 1717 fps= 30 q=-1.0 size=    1669kB time=00:00:57.26 bitrate= 238.8kbits/s speed=   1x    
frame= 1732 fps= 30 q=-1.0 size=    1681kB time=00:00:57.77 bitrate= 238.4kbits/s speed=   1x    
frame= 1748 fps= 30 q=-1.0 size=    1694kB time=00:00:58.29 bitrate= 238.0kbits/s speed=   1x    
frame= 1763 fps= 30 q=-1.0 size=    1704kB time=00:00:58.79 bitrate= 237.5kbits/s speed=   1x    
